"","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )"
"","1990","2000","2010","2015","2016","2017","2018","2019","2020"
"Afghanistan","1208.44","1208.44","1208.44","1208.44","1208.44","1208.44","1208.44","1208.44","1208.44"
"Albania (Desk study)","788.80","769.30","782.07","789.19","789.18","788.90","788.90","788.90","788.90"
"Algeria","1667.00","1579.00","1918.00","1956.00","1956.00","1943.00","1930.00","1939.00","1949.00"
"American Samoa","18.07","17.73","17.43","17.28","17.25","17.22","17.19","17.16","17.13"
"Andorra","16.00","16.00","16.00","16.00","16.00","16.00","16.00","16.00","16.00"
"Angola","79262.78","77708.61","72158.00","69382.69","68827.62","68272.57","67717.51","67162.44","66607.38"
"Anguilla (Desk study)","5.50","5.50","5.50","5.50","5.50","5.50","5.50","5.50","5.50"
"Antigua and Barbuda (Desk study)","10.11","9.45","8.78","8.45","8.38","8.32","8.25","8.18","8.12"
"Argentina","35204.00","33378.00","30214.00","29097.00","29010.00","28899.00","28791.00","28681.00","28573.00"
"Armenia","334.73","332.64","330.56","329.52","329.31","329.10","328.89","328.68","328.47"
"Aruba (Desk study)","0.42","0.42","0.42","0.42","0.42","0.42","0.42","0.42","0.42"
"Australia","133882.20","131814.10","129546.10","133094.50","134037.20","134017.40","134005.10","134005.10","134005.10"
"Austria","3775.67","3838.14","3863.20","3881.19","3884.79","3888.38","3891.97","3895.56","3899.15"
"Azerbaijan","944.74","987.22","1032.49","1077.89","1087.48","1097.18","1108.71","1120.24","1131.77"
"Bahamas","509.86","509.86","509.86","509.86","509.86","509.86","509.86","509.86","509.86"
"Bahrain (Desk study)","0.22","0.37","0.52","0.60","0.62","0.64","0.66","0.68","0.70"
"Bangladesh","1920.33","1920.33","1888.34","1883.40","1883.40","1883.40","1883.40","1883.40","1883.40"
"Barbados","6.30","6.30","6.30","6.30","6.30","6.30","6.30","6.30","6.30"
"Belarus","7780.00","8273.00","8630.00","8633.50","8709.60","8724.10","8738.60","8753.10","8767.60"
"Belgium","677.40","667.30","689.87","689.30","689.30","689.30","689.30","689.30","689.30"
"Belize","1600.03","1459.30","1391.39","1332.83","1321.68","1310.52","1299.37","1288.21","1277.05"
"Benin","4835.15","4135.15","3635.15","3385.15","3335.15","3285.15","3235.15","3185.15","3135.15"
"Bermuda (Desk study)","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00"
"Bhutan","2506.72","2606.00","2705.29","2715.18","2717.16","2719.14","2721.12","2723.10","2725.08"
"Bolivia (Plurinational State of)","57804.72","55101.39","53086.01","52027.22","51750.68","51492.22","51253.24","51033.76","50833.76"
"Bonaire, Sint Eustatius and Saba (Desk study)","1.91","1.91","1.91","1.91","1.91","1.91","1.91","1.91","1.91"
"Bosnia and Herzegovina (Desk study)","2210.00","2111.65","2102.66","2160.50","2176.51","2187.91","2187.91","2187.91","2187.91"
"Botswana","18803.70","17620.70","16437.70","15846.20","15727.90","15609.60","15491.30","15373.00","15254.70"
"Brazil","588898.00","551088.60","511580.70","503884.80","502082.10","500091.60","499051.40","497798.50","496619.60"
"British Virgin Islands (Desk study)","3.71","3.67","3.64","3.62","3.62","3.62","3.62","3.62","3.62"
"Brunei Darussalam","413.00","397.00","380.00","380.00","380.00","380.00","380.00","380.00","380.00"
"Bulgaria","3327.00","3375.00","3737.00","3833.00","3841.00","3854.00","3867.00","3880.00","3893.00"
"Burkina Faso","7716.60","7216.50","6716.50","6466.40","6416.40","6366.40","6316.40","6266.40","6216.40"
"Burundi","276.48","193.94","193.94","279.64","279.64","279.64","279.64","279.64","279.64"
"Cabo Verde","15.38","39.72","42.72","44.22","44.52","44.82","45.12","45.42","45.72"
"Cambodia","11004.79","10781.00","10589.23","8846.82","8691.13","8535.44","8379.75","8224.06","8068.37"
"Cameroon","22500.00","21597.49","20900.48","20620.48","20564.48","20508.48","20452.48","20396.48","20340.48"
"Canada","348272.93","347801.97","347322.21","347115.71","347076.04","347039.05","347002.07","346965.08","346928.10"
"Cayman Islands (Desk study)","13.13","12.93","12.72","12.72","12.72","12.72","12.81","12.72","12.72"
"Central African Republic","23203.00","22903.00","22603.00","22453.00","22423.00","22393.00","22363.00","22333.00","22303.00"
"Chad","6730.00","6353.00","5530.00","4890.00","4769.00","4651.00","4535.00","4422.00","4313.00"
"Chile","15246.05","15817.06","16725.26","17596.08","17719.01","17841.94","17964.87","18087.80","18210.70"
"China","157140.59","177000.55","200610.38","210294.25","212459.87","214339.47","216219.04","218098.61","219978.18"
"Colombia","64958.14","62735.50","60807.79","60134.66","59959.49","59739.77","59540.48","59341.20","59141.91"
"Comoros","46.06","41.68","37.30","35.11","34.67","34.23","33.80","33.36","32.92"
"Congo","22315.00","22195.00","22075.00","22015.00","22003.00","21991.00","21976.00","21961.00","21946.00"
"Cook Islands","14.91","15.57","15.59","15.59","15.59","15.59","15.59","15.59","15.59"
"Costa Rica","2907.40","2857.22","2871.20","2953.03","2969.40","2985.77","3002.13","3018.50","3034.87"
"Côte d'Ivoire","7850.86","5094.45","3965.58","3401.15","3288.26","3175.37","3062.48","2949.60","2836.71"
"Croatia","1850.00","1885.00","1920.00","1922.00","1924.12","1931.61","1934.11","1936.61","1939.11"
"Cuba","2058.00","2435.00","2932.00","3184.00","3241.00","3242.00","3242.00","3242.00","3242.00"
"Curaçao (Desk study)","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07"
"Cyprus","161.11","171.61","172.84","172.71","172.61","172.59","172.57","172.55","172.53"
"Czechia","2629.42","2637.29","2657.38","2668.39","2669.85","2671.66","2673.47","2675.28","2677.09"
"Democratic People's Republic of Korea (Desk study)","6912.03","6454.69","6242.39","6136.24","6115.01","6093.78","6072.55","6051.32","6030.09"
"Democratic Republic of the Congo","150629.00","143899.00","137169.00","131662.12","130560.74","129459.37","128357.99","127256.61","126155.24"
"Denmark","531.44","571.60","586.49","624.68","624.66","625.60","626.56","627.50","628.44"
"Djibouti","5.60","5.60","5.60","5.60","5.60","5.61","5.64","5.70","5.80"
"Dominica","50.31","47.87","47.87","47.87","47.87","47.87","47.87","47.87","47.87"
"Dominican Republic","1594.89","1972.47","2073.12","2103.65","2111.74","2119.83","2127.92","2136.01","2144.10"
"Ecuador","14632.21","13730.50","13028.19","12819.18","12754.91","12690.64","12626.37","12562.10","12497.83"
"Egypt","43.81","59.21","65.64","48.42","44.98","44.98","44.98","44.98","44.98"
"El Salvador","718.88","673.88","628.88","606.38","601.88","597.38","592.88","588.38","583.88"
"Equatorial Guinea","2699.15","2615.58","2532.01","2490.22","2481.86","2473.50","2465.14","2456.78","2448.42"
"Eritrea","1150.06","1118.46","1086.86","1071.06","1067.90","1064.74","1061.58","1058.42","1055.26"
"Estonia","2205.90","2238.89","2336.02","2421.01","2421.25","2438.40","2438.40","2438.40","2438.40"
"Eswatini","461.14","473.28","485.43","491.50","492.72","493.93","495.14","496.35","497.56"
"Ethiopia","19258.50","18528.50","17798.50","17433.50","17360.50","17287.50","17214.50","17141.50","17068.50"
"Falkland Islands (Malvinas) (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Faroe Islands","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08"
"Fiji","939.69","1006.47","1073.24","1106.62","1113.30","1119.98","1126.66","1133.34","1140.02"
"Finland","21875.33","22445.64","22242.00","22409.00","22409.00","22409.00","22409.00","22409.00","22409.00"
"France","14436.00","15288.00","16419.00","16836.00","16919.40","17002.80","17086.20","17169.60","17253.00"
"French Guyana","8125.00","8079.44","8036.50","8020.00","8016.57","8013.14","8009.71","8006.28","8002.85"
"French Polynesia (Desk study)","144.43","148.55","149.46","149.46","149.46","149.46","149.46","149.46","149.46"
"Gabon","23761.62","23700.00","23649.41","23590.00","23578.12","23566.24","23554.36","23542.48","23530.60"
"Gambia","414.66","357.33","300.00","271.34","265.60","259.87","254.14","248.40","242.67"
"Georgia","2752.30","2760.60","2822.40","2822.40","2822.40","2822.40","2822.40","2822.40","2822.40"
"Germany","11300.00","11354.00","11409.00","11419.00","11419.00","11419.00","11419.00","11419.00","11419.00"
"Ghana","9924.26","8848.61","7942.93","7880.44","7922.24","7964.04","7971.26","7978.48","7985.71"
"Gibraltar (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Greece","3298.55","3600.23","3901.80","3901.80","3901.80","3901.80","3901.80","3901.80","3901.80"
"Greenland","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22"
"Grenada","17.70","17.70","17.70","17.70","17.70","17.70","17.70","17.70","17.70"
"Guadeloupe","73.17","72.27","71.55","72.22","72.16","72.10","72.04","71.98","71.92"
"Guam","24.00","24.00","24.00","25.00","28.00","28.00","28.00","28.00","28.00"
"Guatemala","4781.20","4209.20","3722.60","3585.80","3574.20","3562.60","3551.00","3539.40","3527.80"
"Guernsey (Desk study)","0.23","0.23","0.42","0.42","0.42","0.42","0.42","0.42","0.42"
"Guinea","7276.00","6929.00","6569.00","6389.00","6349.00","6309.00","6269.00","6229.00","6189.00"
"Guinea-Bissau (Desk study)","2233.33","2148.88","2064.43","2022.21","2013.77","2005.33","1996.89","1988.45","1980.01"
"Guyana","18602.15","18564.22","18519.81","18461.36","18452.16","18442.95","18433.75","18424.54","18415.34"
"Haiti","382.92","380.65","378.38","362.85","359.74","356.63","353.52","350.41","347.30"
"Holy See (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Honduras","6987.78","6778.27","6575.47","6463.83","6443.05","6422.11","6401.16","6380.21","6359.26"
"Hungary","1813.90","1921.17","2046.39","2060.82","2058.73","2057.27","2055.92","2054.47","2053.01"
"Iceland","17.07","29.83","44.67","48.16","48.66","49.38","50.04","50.69","51.35"
"India","63938.00","67591.00","69496.00","70828.00","71094.40","71360.80","71627.20","71893.60","72160.00"
"Indonesia","118545.00","101280.00","99659.20","95027.90","95271.80","93949.80","93344.27","92738.73","92133.20"
"Iran (Islamic Republic of)","9076.06","9325.66","10691.98","10691.98","10702.08","10710.59","10727.03","10743.47","10751.87"
"Iraq","804.00","818.00","825.00","825.00","825.00","825.00","825.00","825.00","825.00"
"Ireland","461.64","630.36","720.38","754.67","762.35","770.02","774.02","778.02","782.02"
"Isle of Man (Desk study)","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46","3.46"
"Israel","132.00","153.00","154.00","165.00","140.00","140.00","140.00","140.00","140.00"
"Italy","7589.75","8369.25","9028.04","9297.08","9350.89","9404.70","9458.51","9512.32","9566.13"
"Jamaica","521.28","521.00","558.45","577.46","581.34","585.23","589.12","593.00","596.89"
"Japan","24950.00","24876.00","24966.00","24944.00","24940.00","24935.00","24935.00","24935.00","24935.00"
"Jersey (Desk study)","0.60","0.60","0.60","0.60","0.60","0.60","0.60","0.60","0.60"
"Jordan","97.50","97.50","97.50","97.50","97.50","97.50","97.50","97.50","97.50"
"Kazakhstan","3162.24","3156.93","3082.18","3308.46","3337.71","3366.96","3396.20","3425.44","3454.68"
"Kenya","3858.54","3961.19","3616.34","3522.41","3551.97","3581.53","3611.09","3611.09","3611.09"
"Kiribati (Desk study)","1.18","1.18","1.18","1.18","1.18","1.18","1.18","1.18","1.18"
"Kuwait (Desk study)","3.45","4.85","6.25","6.25","6.25","6.25","6.25","6.25","6.25"
"Kyrgyzstan","1136.42","1180.90","1229.68","1251.81","1256.24","1260.66","1278.90","1297.14","1315.38"
"Lao People's Democratic Republic","17843.00","17425.00","16940.50","16768.00","16733.50","16699.00","16664.50","16630.00","16595.50"
"Latvia","3173.00","3241.00","3372.12","3391.44","3395.31","3399.18","3403.05","3406.92","3410.79"
"Lebanon","139.70","138.18","137.35","140.33","140.93","141.53","142.13","142.73","143.33"
"Lesotho","34.52","34.52","34.52","34.52","34.52","34.52","34.52","34.52","34.52"
"Liberia","8525.24","8222.64","7920.04","7768.74","7738.48","7708.22","7677.96","7647.70","7617.44"
"Libya (Desk study)","217.00","217.00","217.00","217.00","217.00","217.00","217.00","217.00","217.00"
"Liechtenstein","6.50","6.70","6.70","6.70","6.70","6.70","6.70","6.70","6.70"
"Lithuania","1945.00","2020.00","2170.00","2187.00","2190.00","2196.00","2198.00","2200.00","2201.00"
"Luxembourg","85.80","86.70","88.70","88.70","88.70","88.70","88.70","88.70","88.70"
"Madagascar","13693.45","13030.67","12561.98","12495.89","12482.68","12469.46","12456.24","12443.03","12429.81"
"Malawi","3501.70","3081.70","2661.70","2451.70","2409.70","2367.70","2325.70","2283.70","2241.70"
"Malaysia","20618.50","19691.35","18947.65","19464.22","19314.64","19264.49","19214.34","19164.19","19114.04"
"Maldives","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82","0.82"
"Mali","13296.00","13296.00","13296.00","13296.00","13296.00","13296.00","13296.00","13296.00","13296.00"
"Malta","0.35","0.35","0.35","0.35","0.38","0.42","0.46","0.46","0.46"
"Marshall Islands","9.40","9.40","9.40","9.40","9.40","9.40","9.40","9.40","9.40"
"Martinique","47.84","48.74","50.29","51.29","51.49","51.69","51.89","52.09","52.29"
"Mauritania","476.04","421.64","367.24","340.04","334.60","329.20","323.70","318.30","312.80"
"Mauritius","41.07","41.93","38.39","38.30","38.29","38.65","38.69","38.73","38.77"
"Mayotte","19.10","15.67","14.41","14.14","14.09","14.04","13.99","13.94","13.89"
"Mexico","70591.65","68381.35","66943.31","66330.91","66203.15","66075.38","65947.61","65819.85","65692.08"
"Micronesia (Federated States of)","63.58","63.86","64.13","64.27","64.30","64.33","64.36","64.39","64.42"
"Monaco (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mongolia","14352.00","14263.90","14183.90","14178.33","14177.22","14176.11","14175.00","14173.89","14172.78"
"Montenegro","626.00","626.00","827.00","827.00","827.00","827.00","827.00","827.00","827.00"
"Montserrat (Desk study)","3.50","2.50","2.50","2.50","2.50","2.50","2.50","2.50","2.50"
"Morocco","5485.29","5506.54","5674.57","5684.69","5699.79","5711.59","5721.59","5732.09","5742.49"
"Mozambique","43378.00","41188.00","38972.14","37940.00","37628.29","37406.60","37224.17","36966.11","36743.76"
"Myanmar","39218.48","34868.11","31441.00","29992.44","29702.73","29413.02","29123.31","28833.60","28543.89"
"Namibia","8769.17","8059.08","7348.99","6993.95","6922.94","6851.93","6780.92","6709.91","6638.90"
"Nauru (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Nepal","5672.00","5780.76","5962.03","5962.03","5962.03","5962.03","5962.03","5962.03","5962.03"
"Netherlands","345.33","359.50","373.48","364.83","365.76","366.70","367.63","368.57","369.50"
"New Caledonia (Desk study)","831.13","837.85","839.02","838.52","838.42","838.32","838.22","838.12","838.02"
"New Zealand","9372.27","9850.44","9848.12","9846.61","9846.75","9850.85","9855.15","9865.52","9892.59"
"Nicaragua","6399.32","5399.32","4188.15","3907.53","3807.53","3707.53","3607.53","3507.53","3407.53"
"Niger","1945.00","1328.10","1203.90","1141.80","1129.38","1116.96","1104.54","1092.12","1079.70"
"Nigeria","26526.09","24893.04","23259.98","22443.45","22280.15","22116.85","21953.55","21790.25","21626.95"
"Niue","18.93","18.83","18.77","18.82","18.83","18.84","18.85","18.86","18.87"
"Norfolk Island (Desk study)","0.49","0.49","0.49","0.49","0.49","0.49","0.49","0.49","0.49"
"North Macedonia (Desk study)","912.00","957.55","960.43","994.40","1001.67","1001.49","1001.49","1001.49","1001.49"
"Northern Mariana Islands","33.61","31.96","30.32","29.49","24.36","24.36","24.36","24.36","24.36"
"Norway","12132.00","12113.00","12102.00","12141.00","12148.80","12156.60","12164.40","12172.20","12180.00"
"Oman","3.00","3.00","3.00","3.00","2.80","2.70","2.60","2.50","2.50"
"Pakistan","4986.79","4511.26","4093.73","3932.60","3868.24","3849.92","3808.58","3767.24","3725.90"
"Palau","38.15","39.58","40.56","40.99","41.08","41.16","41.25","41.33","41.41"
"Palestine (Desk study)","9.08","9.08","9.95","10.14","10.14","10.14","10.14","10.14","10.14"
"Panama","4607.40","4442.14","4327.99","4270.91","4259.50","4248.08","4236.67","4225.25","4213.84"
"Papua New Guinea","36399.68","36277.97","36178.89","36024.42","35989.88","35956.35","35922.82","35889.29","35855.76"
"Paraguay","25545.86","22991.65","19570.21","17498.94","17333.13","16940.27","16660.93","16381.60","16102.26"
"Peru","76448.54","75297.83","74049.80","73194.53","73010.28","72834.78","72676.04","72503.20","72330.37"
"Philippines","7778.81","7309.26","6839.72","7014.15","7049.04","7083.93","7118.81","7153.70","7188.59"
"Pitcairn (Desk study)","3.50","3.50","3.50","3.50","3.50","3.50","3.50","3.50","3.50"
"Poland","8882.00","9059.00","9329.00","9420.00","9435.00","9447.00","9459.00","9471.00","9483.00"
"Portugal","3399.00","3281.00","3252.00","3312.00","3312.00","3312.00","3312.00","3312.00","3312.00"
"Puerto Rico","320.33","429.15","491.45","493.88","494.37","494.86","495.35","495.84","496.33"
"Qatar (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Republic of Korea","6551.00","6476.00","6387.00","6337.00","6325.00","6317.00","6307.00","6297.00","6287.00"
"Republic of Moldova","325.40","344.40","374.50","386.40","386.50","386.50","386.50","386.50","386.50"
"Réunion","87.95","90.97","93.99","96.04","96.52","97.00","97.48","97.96","98.44"
"Romania","6371.00","6366.00","6515.00","6900.96","6929.05","6929.05","6929.05","6929.05","6929.05"
"Russian Federation","808949.90","809268.50","815135.60","814930.46","815121.03","815311.60","815311.60","815311.60","815311.60"
"Rwanda (Desk study)","317.00","287.00","265.00","270.00","272.00","273.00","274.00","275.00","276.00"
"Saint Barthélemy (Desk study)","0.17","0.17","0.17","0.17","0.17","0.17","0.17","0.17","0.17"
"Saint Helena (Desk study)","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00"
"Saint Kitts and Nevis (Desk study)","11.00","11.00","11.00","11.00","11.00","11.00","11.00","11.00","11.00"
"Saint Lucia","21.27","21.01","20.77","20.77","20.77","20.77","20.77","20.77","20.77"
"Saint Pierre and Miquelon (Desk study)","1.90","1.67","1.44","1.33","1.31","1.29","1.26","1.24","1.22"
"Saint Vincent and the Grenadines","27.54","28.54","28.54","28.54","28.54","28.54","28.54","28.54","28.54"
"Saint-Martin (French Part) (Desk study)","1.24","1.24","1.24","1.24","1.24","1.24","1.24","1.24","1.24"
"Samoa","176.13","171.31","166.49","164.07","163.59","163.11","162.63","162.15","161.67"
"San Marino (Desk study)","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00"
"Sao Tome and Principe","58.62","58.36","58.10","55.00","54.38","53.76","53.14","52.52","51.90"
"Saudi Arabia (Desk study)","977.00","977.00","977.00","977.00","977.00","977.00","977.00","977.00","977.00"
"Senegal","9303.16","8853.16","8468.16","8268.16","8228.16","8188.16","8148.16","8108.16","8068.16"
"Serbia","2313.00","2460.00","2713.00","2719.53","2720.18","2721.86","2722.00","2722.22","2722.65"
"Seychelles","33.70","33.70","33.70","33.70","33.70","33.70","33.70","33.70","33.70"
"Sierra Leone","3126.70","2929.43","2732.16","2633.53","2613.80","2594.07","2574.34","2554.61","2534.88"
"Singapore","14.83","17.01","17.74","16.47","16.29","16.11","15.93","15.75","15.57"
"Sint Maarten (Dutch part) (Desk study)","0.37","0.37","0.37","0.37","0.37","0.37","0.37","0.37","0.37"
"Slovakia","1902.48","1901.41","1917.91","1921.75","1923.37","1925.90","1925.90","1925.90","1925.90"
"Slovenia","1188.00","1233.00","1247.00","1248.00","1245.97","1243.93","1241.90","1239.86","1237.83"
"Solomon Islands","2544.91","2537.60","2530.28","2526.62","2525.89","2525.16","2524.43","2523.70","2522.97"
"Somalia","8282.50","7515.00","6747.50","6363.75","6287.00","6210.25","6133.50","6056.75","5980.00"
"South Africa","18142.09","17778.09","17414.09","17232.09","17195.69","17159.29","17122.89","17086.49","17050.09"
"South Sudan","7157.00","7157.00","7157.00","7157.00","7157.00","7157.00","7157.00","7157.00","7157.00"
"Spain","13904.66","17093.93","18545.34","18551.18","18555.24","18559.30","18563.59","18567.88","18572.17"
"Sri Lanka","2350.33","2166.42","2103.62","2128.82","2125.66","2122.50","2119.34","2116.18","2113.02"
"Sudan","23570.31","21826.16","20081.17","19209.93","19048.19","18876.03","18703.87","18531.71","18359.55"
"Suriname","15377.63","15340.87","15299.86","15251.67","15240.32","15233.02","15220.78","15208.53","15196.29"
"Svalbard and Jan Mayen Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Sweden","28063.00","28163.00","28073.00","27980.00","27980.00","27980.00","27980.00","27980.00","27980.00"
"Switzerland","1153.50","1196.18","1234.72","1251.91","1255.35","1258.79","1262.23","1265.67","1269.11"
"Syrian Arab Republic","372.08","432.08","492.08","522.08","522.08","522.08","522.08","522.08","522.08"
"Tajikistan","408.00","410.00","410.00","421.80","421.80","421.80","421.80","422.80","423.80"
"Thailand","19361.00","18998.00","20073.00","20061.00","20017.00","19981.00","19945.00","19909.00","19873.00"
"Timor-Leste","963.10","949.10","935.10","928.10","926.70","925.60","923.90","922.50","921.10"
"Togo","1361.66","1268.46","1238.87","1224.07","1221.11","1218.15","1215.19","1212.23","1209.27"
"Tokelau (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tonga","8.95","8.95","8.95","8.95","8.95","8.95","8.95","8.95","8.95"
"Trinidad and Tobago","242.06","236.65","232.41","230.29","229.87","229.45","229.03","228.61","228.19"
"Tunisia","643.98","667.85","687.43","695.08","696.61","698.14","699.67","701.20","702.73"
"Türkiye","19783.48","20148.35","21083.08","21630.30","21630.30","21752.46","21908.36","22064.36","22220.36"
"Turkmenistan (Desk study)","4127.00","4127.00","4127.00","4127.00","4127.00","4127.00","4127.00","4127.00","4127.00"
"Turks and Caicos Islands (Desk study)","10.52","10.52","10.52","10.52","10.52","10.52","10.52","10.52","10.52"
"Tuvalu","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00"
"Uganda","3575.47","3162.95","2750.42","2544.16","2502.91","2461.66","2420.41","2379.15","2337.90"
"Ukraine","9274.00","9510.00","9548.00","9657.00","9664.00","9671.00","9678.00","9684.00","9690.00"
"United Arab Emirates (Desk study)","245.00","309.43","317.30","317.30","317.30","317.30","317.30","317.30","317.30"
"United Kingdom of Great Britain and Northern Ireland","2778.00","2954.00","3059.00","3155.00","3159.00","3164.00","3173.00","3182.00","3190.00"
"United Republic of Tanzania","57390.01","53670.01","49950.01","48090.00","47621.00","47152.00","46683.00","46214.00","45745.00"
"United States of America","302450.00","303536.00","308720.00","310095.00","310095.00","309795.00","309795.00","309795.00","309795.00"
"United States Virgin Islands","24.54","20.47","18.43","19.16","19.31","19.46","19.61","19.76","19.91"
"Uruguay","798.00","1369.00","1731.30","1920.00","1947.00","1968.00","1989.00","2010.00","2031.00"
"Uzbekistan","2549.37","2961.46","3349.60","3549.40","3586.30","3612.14","3637.98","3663.82","3689.66"
"Vanuatu","442.30","442.30","442.30","442.30","442.30","442.30","442.30","442.30","442.30"
"Venezuela (Bolivarian Republic of)","52026.00","49151.00","47505.00","46683.00","46543.26","46428.18","46337.76","46272.00","46230.90"
"Viet Nam","9375.96","11784.10","13388.06","14061.86","14377.68","14415.39","14491.29","14567.19","14643.09"
"Wallis and Futuna Islands (Desk study)","5.80","5.81","5.82","5.83","5.83","5.83","5.83","5.83","5.83"
"Western Sahara (Desk study)","665.10","669.31","665.11","664.70","665.11","664.70","665.14","665.05","665.07"
"Yemen","549.00","549.00","549.00","549.00","549.00","549.00","549.00","549.00","549.00"
"Zambia","47412.00","47054.00","46696.00","45755.10","45566.80","45378.67","45190.46","45002.24","44814.03"
"Zimbabwe","18826.68","18365.98","17905.28","17674.93","17628.86","17582.79","17536.72","17490.65","17444.58"
"© FRA 2022","","","","","","","","",""
"2022-10-04","","","","","","","","",""